[0;90m2024-10-11 14:15:56.784 [0;1;93m[Warning][m: IPC channel still there, doing an unlink of server-user-0-function-0
[0;90m2024-10-11 14:15:56.784 [0;1;96m[ Debug ][m: Application registered management segment 0x747e25340000 with size 65796264 to id 1
[0;90m2024-10-11 14:15:56.785 [0;1;96m[ Debug ][m: Application registered payload data segment 0x747cae138000 with size 6293584200 to id 2
[2024-10-11 14:15:56.785] [error] Enabling use of VMM-based allocations in CUDA!
[2024-10-11 14:15:56.871] [error] Message from the orchestrator! Code 1
[2024-10-11 14:15:56.871] [info] [ExecutionStatus] CPU execution!
[2024-10-11 14:15:56.871] [error] Message from the orchestrator! Code 3
[2024-10-11 14:15:56.871] [info] [ExecutionStatus] Full execution!
[2024-10-11 14:16:01.220] [error] Total size 714.0 0
[2024-10-11 14:16:01.220] [error] Total size 714.0 0
[2024-10-11 14:16:01.221] [error] Total size 734.0 0
[2024-10-11 14:16:01.222] [error] Total size 734.0 0
[2024-10-11 14:16:01.223] [error] Total size 734.0 0
[2024-10-11 14:16:01.223] [error] Total size 734.0 0
[2024-10-11 14:16:01.223] [error] Total size 734.0 0
[2024-10-11 14:16:01.231] [error] Total size 734.0 0
[2024-10-11 14:16:01.231] [error] Total size 734.0 0
[2024-10-11 14:16:01.231] [error] Total size 750.0 0
[2024-10-11 14:16:01.239] [error] Total size 750.0 0
[2024-10-11 14:16:01.240] [error] Total size 750.0 0
[2024-10-11 14:16:01.240] [error] Total size 750.0 0
[2024-10-11 14:16:01.240] [error] Total size 750.0 0
[2024-10-11 14:16:01.240] [error] Total size 770.0 0
[2024-10-11 14:16:01.242] [error] Total size 770.0 0
[2024-10-11 14:16:01.243] [error] Total size 770.0 0
[2024-10-11 14:16:01.244] [error] Total size 770.0 0
[2024-10-11 14:16:01.245] [error] Total size 770.0 0
[2024-10-11 14:16:01.247] [error] Total size 770.0 0
[2024-10-11 14:16:01.247] [error] Total size 770.0 0
[2024-10-11 14:16:01.249] [error] Total size 770.0 0
[2024-10-11 14:16:01.249] [error] Total size 770.0 0
[2024-10-11 14:16:01.249] [error] Total size 770.0 0
[2024-10-11 14:16:01.249] [error] Total size 770.0 0
[2024-10-11 14:16:01.249] [error] Total size 786.0 0
[2024-10-11 14:16:01.257] [error] Total size 786.0 0
[2024-10-11 14:16:01.258] [error] Total size 786.0 0
[2024-10-11 14:16:01.258] [error] Total size 802.0 0
[2024-10-11 14:16:01.266] [error] Total size 802.0 0
[2024-10-11 14:16:01.267] [error] Total size 802.0 0
[2024-10-11 14:16:01.267] [error] Total size 802.0 0
[2024-10-11 14:16:01.267] [error] Total size 802.0 0
[2024-10-11 14:16:01.269] [error] Total size 802.0 0
[2024-10-11 14:16:01.269] [error] Total size 802.0 0
[2024-10-11 14:16:01.269] [error] Total size 822.0 0
[2024-10-11 14:16:01.271] [error] Total size 822.0 0
[2024-10-11 14:16:01.271] [error] Total size 822.0 0
[2024-10-11 14:16:01.273] [error] Total size 822.0 0
[2024-10-11 14:16:01.273] [error] Total size 822.0 0
[2024-10-11 14:16:01.275] [error] Total size 822.0 0
[2024-10-11 14:16:01.275] [error] Total size 822.0 0
[2024-10-11 14:16:01.275] [error] Total size 822.0 0
[2024-10-11 14:16:01.275] [error] Total size 822.0 0
[2024-10-11 14:16:01.275] [error] Total size 838.0 0
[2024-10-11 14:16:01.283] [error] Total size 838.0 0
[2024-10-11 14:16:01.284] [error] Total size 838.0 0
[2024-10-11 14:16:01.284] [error] Total size 854.0 0
[2024-10-11 14:16:01.292] [error] Total size 854.0 0
[2024-10-11 14:16:01.293] [error] Total size 854.0 0
[2024-10-11 14:16:01.293] [error] Total size 854.0 0
[2024-10-11 14:16:01.293] [error] Total size 854.0 0
[2024-10-11 14:16:01.295] [error] Total size 854.0 0
[2024-10-11 14:16:01.295] [error] Total size 854.0 0
[2024-10-11 14:16:01.297] [error] Total size 854.0 0
[2024-10-11 14:16:01.297] [error] Total size 854.0 0
[2024-10-11 14:16:01.297] [error] Total size 874.0 0
[2024-10-11 14:16:01.299] [error] Total size 874.0 0
[2024-10-11 14:16:01.299] [error] Total size 874.0 0
[2024-10-11 14:16:01.301] [error] Total size 874.0 0
[2024-10-11 14:16:01.301] [error] Total size 874.0 0
[2024-10-11 14:16:01.301] [error] Total size 874.0 0
[2024-10-11 14:16:01.301] [error] Total size 874.0 0
[2024-10-11 14:16:01.301] [error] Total size 890.0 0
[2024-10-11 14:16:01.310] [error] Total size 890.0 0
[2024-10-11 14:16:01.310] [error] Total size 890.0 0
[2024-10-11 14:16:01.310] [error] Total size 906.0 0
[2024-10-11 14:16:01.318] [error] Total size 906.0 0
[2024-10-11 14:16:01.319] [error] Total size 906.0 0
[2024-10-11 14:16:01.319] [error] Total size 906.0 0
[2024-10-11 14:16:01.319] [error] Total size 906.0 0
[2024-10-11 14:16:01.321] [error] Total size 906.0 0
[2024-10-11 14:16:01.321] [error] Total size 906.0 0
[2024-10-11 14:16:01.323] [error] Total size 906.0 0
[2024-10-11 14:16:01.323] [error] Total size 906.0 0
[2024-10-11 14:16:01.325] [error] Total size 906.0 0
[2024-10-11 14:16:01.325] [error] Total size 906.0 0
[2024-10-11 14:16:01.326] [error] Total size 926.0 0
[2024-10-11 14:16:01.327] [error] Total size 926.0 0
[2024-10-11 14:16:01.328] [error] Total size 926.0 0
[2024-10-11 14:16:01.328] [error] Total size 926.0 0
[2024-10-11 14:16:01.328] [error] Total size 926.0 0
[2024-10-11 14:16:01.336] [error] Total size 926.0 0
[2024-10-11 14:16:01.337] [error] Total size 926.0 0
[2024-10-11 14:16:01.337] [error] Total size 942.0 0
[2024-10-11 14:16:01.345] [error] Total size 942.0 0
[2024-10-11 14:16:01.345] [error] Total size 942.0 0
[2024-10-11 14:16:01.345] [error] Total size 942.0 0
[2024-10-11 14:16:01.346] [error] Total size 942.0 0
[2024-10-11 14:16:01.346] [error] Total size 962.0 0
[2024-10-11 14:16:01.348] [error] Total size 962.0 0
[2024-10-11 14:16:01.348] [error] Total size 962.0 0
[2024-10-11 14:16:01.350] [error] Total size 962.0 0
[2024-10-11 14:16:01.350] [error] Total size 962.0 0
